Financing scheme,Function,Measure,LOCATION,Country,Year,Value
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,SWE,Sweden,2010,8.32
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,SWE,Sweden,2011,10.416
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,SWE,Sweden,2012,10.735
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,SWE,Sweden,2013,10.905
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,SWE,Sweden,2014,10.948
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,SWE,Sweden,2015,10.804
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,SWE,Sweden,2016,10.852
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,SWE,Sweden,2017,10.785
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,SWE,Sweden,2018,10.941
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,SWE,Sweden,2019,10.832
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,SWE,Sweden,2020,11.333
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,SWE,Sweden,2021,11.247
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,SWE,Sweden,2022,10.667
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FIN,Finland,2000,7.093
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FIN,Finland,2001,7.251
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FIN,Finland,2002,7.628
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FIN,Finland,2003,7.938
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FIN,Finland,2004,8.059
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FIN,Finland,2005,8.288
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FIN,Finland,2006,8.284
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FIN,Finland,2007,8.084
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FIN,Finland,2008,8.343
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FIN,Finland,2009,9.161
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FIN,Finland,2010,9.142
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FIN,Finland,2011,9.223
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FIN,Finland,2012,9.586
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FIN,Finland,2013,9.805
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FIN,Finland,2014,9.781
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FIN,Finland,2015,9.645
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FIN,Finland,2016,9.378
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FIN,Finland,2017,9.127
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FIN,Finland,2018,9.043
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FIN,Finland,2019,9.171
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FIN,Finland,2020,9.632
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FIN,Finland,2021,10.25
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FIN,Finland,2022,10.039
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ESP,Spain,2000,6.799
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ESP,Spain,2001,6.769
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ESP,Spain,2002,6.801
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ESP,Spain,2003,7.563
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ESP,Spain,2004,7.658
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ESP,Spain,2005,7.732
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ESP,Spain,2006,7.829
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ESP,Spain,2007,7.919
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ESP,Spain,2008,8.382
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ESP,Spain,2009,9.108
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ESP,Spain,2010,9.119
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ESP,Spain,2011,9.168
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ESP,Spain,2012,9.154
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ESP,Spain,2013,9.064
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ESP,Spain,2014,9.085
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ESP,Spain,2015,9.122
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ESP,Spain,2016,8.947
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ESP,Spain,2017,8.945
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ESP,Spain,2018,8.997
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ESP,Spain,2019,9.146
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ESP,Spain,2020,10.746
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ESP,Spain,2021,10.74
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ESP,Spain,2022,10.39
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CHE,Switzerland,2000,9.134
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CHE,Switzerland,2001,9.46
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CHE,Switzerland,2002,9.88
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CHE,Switzerland,2003,10.137
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CHE,Switzerland,2004,10.226
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CHE,Switzerland,2005,10.058
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CHE,Switzerland,2006,9.58
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CHE,Switzerland,2007,9.417
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CHE,Switzerland,2008,9.532
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CHE,Switzerland,2009,10.142
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CHE,Switzerland,2010,9.934
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CHE,Switzerland,2011,10.046
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CHE,Switzerland,2012,10.144
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CHE,Switzerland,2013,10.379
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CHE,Switzerland,2014,10.428
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CHE,Switzerland,2015,10.779
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CHE,Switzerland,2016,10.99
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CHE,Switzerland,2017,11.045
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CHE,Switzerland,2018,10.772
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CHE,Switzerland,2019,11.064
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CHE,Switzerland,2020,11.732
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CHE,Switzerland,2021,11.801
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CHE,Switzerland,2022,11.339
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,EST,Estonia,2000,5.164
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,EST,Estonia,2001,4.781
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,EST,Estonia,2002,4.703
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,EST,Estonia,2003,5.139
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,EST,Estonia,2004,5.338
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,EST,Estonia,2005,5.295
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,EST,Estonia,2006,4.974
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,EST,Estonia,2007,5.185
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,EST,Estonia,2008,5.957
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,EST,Estonia,2009,6.845
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,EST,Estonia,2010,6.594
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,EST,Estonia,2011,6.078
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,EST,Estonia,2012,6.095
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,EST,Estonia,2013,6.281
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,EST,Estonia,2014,6.362
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,EST,Estonia,2015,6.641
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,EST,Estonia,2016,6.702
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,EST,Estonia,2017,6.597
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,EST,Estonia,2018,6.691
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,EST,Estonia,2019,6.817
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,EST,Estonia,2020,7.579
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,EST,Estonia,2021,7.491
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,EST,Estonia,2022,6.943
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,COL,Colombia,2000,5.635
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,COL,Colombia,2001,5.942
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,COL,Colombia,2002,5.733
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,COL,Colombia,2003,5.775
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,COL,Colombia,2004,5.799
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,COL,Colombia,2005,6.067
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,COL,Colombia,2006,6.336
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,COL,Colombia,2007,6.491
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,COL,Colombia,2008,6.842
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,COL,Colombia,2009,7.311
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,COL,Colombia,2010,7.071
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,COL,Colombia,2011,6.781
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,COL,Colombia,2012,6.746
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,COL,Colombia,2013,7.017
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,COL,Colombia,2014,7.186
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,COL,Colombia,2015,7.523
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,COL,Colombia,2016,7.531
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,COL,Colombia,2017,7.679
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,COL,Colombia,2018,7.625
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,COL,Colombia,2019,7.78
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,COL,Colombia,2020,8.714
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,COL,Colombia,2021,9.018
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,COL,Colombia,2022,8.068
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CRI,Costa Rica,2000,6.565
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CRI,Costa Rica,2001,6.474
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CRI,Costa Rica,2002,6.869
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CRI,Costa Rica,2003,6.969
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CRI,Costa Rica,2004,6.63
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CRI,Costa Rica,2005,6.664
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CRI,Costa Rica,2006,6.935
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CRI,Costa Rica,2007,6.996
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CRI,Costa Rica,2008,7.469
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CRI,Costa Rica,2009,7.86
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CRI,Costa Rica,2010,8.029
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CRI,Costa Rica,2011,8.112
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CRI,Costa Rica,2012,7.782
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CRI,Costa Rica,2013,7.679
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CRI,Costa Rica,2014,7.662
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CRI,Costa Rica,2015,7.592
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CRI,Costa Rica,2016,7.315
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CRI,Costa Rica,2017,7.045
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CRI,Costa Rica,2018,7.286
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CRI,Costa Rica,2019,7.221
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CRI,Costa Rica,2020,7.825
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CRI,Costa Rica,2021,7.569
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CRI,Costa Rica,2022,7.168
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DNK,Denmark,2000,8.104
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DNK,Denmark,2001,8.448
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DNK,Denmark,2002,8.703
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DNK,Denmark,2003,8.904
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DNK,Denmark,2004,9.007
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DNK,Denmark,2005,9.091
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DNK,Denmark,2006,9.169
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DNK,Denmark,2007,9.325
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DNK,Denmark,2008,9.511
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DNK,Denmark,2009,10.674
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DNK,Denmark,2010,10.591
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DNK,Denmark,2011,10.388
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DNK,Denmark,2012,10.506
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DNK,Denmark,2013,10.31
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DNK,Denmark,2014,10.292
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DNK,Denmark,2015,10.328
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DNK,Denmark,2016,10.237
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DNK,Denmark,2017,10.098
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DNK,Denmark,2018,10.098
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DNK,Denmark,2019,10.152
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DNK,Denmark,2020,10.56
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DNK,Denmark,2021,10.824
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DNK,Denmark,2022,9.497
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DEU,Germany,2000,9.888
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DEU,Germany,2001,9.921
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DEU,Germany,2002,10.184
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DEU,Germany,2003,10.402
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DEU,Germany,2004,10.146
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DEU,Germany,2005,10.312
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DEU,Germany,2006,10.18
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DEU,Germany,2007,10.051
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DEU,Germany,2008,10.251
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DEU,Germany,2009,11.238
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DEU,Germany,2010,11.096
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DEU,Germany,2011,10.778
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DEU,Germany,2012,10.853
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DEU,Germany,2013,10.999
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DEU,Germany,2014,11.026
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DEU,Germany,2015,11.19
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DEU,Germany,2016,11.242
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DEU,Germany,2017,11.336
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DEU,Germany,2018,11.481
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DEU,Germany,2019,11.716
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DEU,Germany,2020,12.693
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DEU,Germany,2021,12.934
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,DEU,Germany,2022,12.655
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISL,Iceland,2000,8.899
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISL,Iceland,2001,8.753
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISL,Iceland,2002,9.404
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISL,Iceland,2003,9.729
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISL,Iceland,2004,9.329
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISL,Iceland,2005,8.947
